state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
ILLINOIS,Tornado,SANGAMON,5/3/2021,16:27:00,0,0,0,0,EFU,0.29,PLEASANT PLAINS,$0.00 ,$0.00 ,-1
ALABAMA,Tornado,HENRY,4/24/2021,6:50:00,2,0,0,0,EF1,4.09,TUMBLETON,"$100,000.00 ",$0.00 ,1
ALABAMA,Tornado,HOUSTON,4/24/2021,6:51:00,0,0,0,0,EF0,0.42,SIGMA,"$25,000.00 ",$0.00 ,0
FLORIDA,Tornado,BAY,4/10/2021,7:45:00,0,0,0,0,EF0,0.5,WEST PANAMA CITY,$0.00 ,$0.00 ,0
ARKANSAS,Tornado,MISSISSIPPI,6/2/2021,13:01:00,0,0,0,0,EF0,0.11,LUXORA,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,SANGAMON,5/3/2021,17:10:00,0,0,0,0,EFU,0.43,DAWSON,$0.00 ,$0.00 ,-1
ILLINOIS,Tornado,SANGAMON,5/3/2021,17:14:00,0,0,0,0,EFU,0.63,MECHANICSBURG,$0.00 ,$0.00 ,-1
ILLINOIS,Tornado,CLAY,5/27/2021,14:29:00,0,0,0,0,EFU,0.22,LOUISVILLE,$0.00 ,$0.00 ,-1
ILLINOIS,Tornado,COLES,4/28/2021,18:36:00,0,0,0,0,EFU,0.11,HUMBOLDT,$0.00 ,$0.00 ,-1
FLORIDA,Tornado,PASCO,8/10/2021,16:50:00,0,0,0,0,EF0,0.1,ODESSA,"$10,000.00 ",$0.00 ,0
MISSOURI,Tornado,BOLLINGER,4/28/2021,13:50:00,0,0,0,0,EF1,3.37,HURRICANE,$0.00 ,$0.00 ,1
MICHIGAN,Tornado,KENT,4/10/2021,15:18:00,0,0,0,0,EF0,0.55,CORINTH,"$75,000.00 ",$0.00 ,0
COLORADO,Tornado,CHEYENNE,4/27/2021,15:08:00,0,0,0,0,EFU,2.04,AROYA,$0.00 ,$0.00 ,-1
COLORADO,Tornado,CHEYENNE,4/27/2021,15:08:00,0,0,0,0,EFU,0.78,WILD HORSE,$0.00 ,$0.00 ,-1
